OBJECTID,lat,long,monthave,date,site,name,month,day,year,dateorig,doy
84,39.0561,-95.1907,0.236518592,2014-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2014,10/15/2014 0:00,288
85,39.0561,-95.1907,0.093391731,2014-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2014,11/15/2014 0:00,319
86,39.0561,-95.1907,0.015534045,2014-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2014,12/15/2014 0:00,349
87,39.0561,-95.1907,0.071531795,2015-1-15T00:00:00.000Z,US-KFS,Kansas Field Station,1,15,2015,1/15/2015 0:00,15
88,39.0561,-95.1907,0.128333479,2015-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2,15,2015,2/15/2015 0:00,46
89,39.0561,-95.1907,0.063430458,2015-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2015,3/15/2015 0:00,74
90,39.0561,-95.1907,0.22954829,2015-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2015,4/15/2015 0:00,105
91,39.0561,-95.1907,0.708132505,2015-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2015,5/15/2015 0:00,135
92,39.0561,-95.1907,0.61702013,2015-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2015,6/15/2015 0:00,166
93,39.0561,-95.1907,0.610448003,2015-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2015,7/15/2015 0:00,196
94,39.0561,-95.1907,0.625365853,2015-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2015,8/15/2015 0:00,227
95,39.0561,-95.1907,0.431004494,2015-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2015,9/15/2015 0:00,258
96,39.0561,-95.1907,0.25828141,2015-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2015,10/15/2015 0:00,288
97,39.0561,-95.1907,0.096600533,2015-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2015,11/15/2015 0:00,319
98,39.0561,-95.1907,0.091130584,2015-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2015,12/15/2015 0:00,349
